"country","First_Choice","Second_Choice","Third_Choice","Fourth_Choice","Fifth_Choice"
"Australia","Family","Occupation","Friends","Material well-being","Society"
"New Zealand","Family","Occupation","Friends","Material well-being","Society"
"Sweden","Family","Occupation","Friends","Material well-being/Health","Material well-being/Health"
"France","Family","Occupation","Health","Material well-being","Friends"
"Greece","Family","Occupation","Health","Friends","Hobbies"
"Germany","Family","Occupation/Health","Occupation/Health","Material well-being/General Positive","Material well-being/General Positive"
"Canada","Family","Occupation","Material well-being","Friends","Society"
"Singapore","Family","Occupation","Society","Material well-being","Friends"
"Italy","Family/Occupation","Family/Occupation","Material well-being","Health","Friends"
"Netherlands","Family","Material well-being","Health","Friends","Occupation"
"Belgium","Family","Material well-being","Occupation","Health","Friends"
"Japan","Family","Material well-being","Occupation/Health","Occupation/Health","Hobbies"
"UK","Family","Friends","Hobbies","Occupation","Health"
"U.S.","Family","Friends","Hobbies","Occupation","Faith"
"Spain","Health","Material well-being","Occupation","Family","Society"
"South Korea","Material well-being","Health","Family","General Positive","Society/Freedom"
"Taiwan","Society","Material well-being","Family","Freedom","Hobbies"
